,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total,clusters,cluster
9127,5,0,5,0,5,87,0,pink
9128,5,0,5,5,5,129,0,pink
9129,5,0,5,0,5,159,0,pink
9130,10,0,14,5,18,262,0,pink
9131,62,0,65,27,100,1029,0,pink
9132,98,0,111,49,160,1293,0,pink
9133,86,0,108,46,148,1378,0,pink
9134,64,0,98,30,132,1524,0,pink
9135,219,0,317,93,443,5679,1,purple
9136,0,0,0,0,0,95,0,pink
9137,0,0,5,0,5,156,0,pink
9138,5,0,5,5,5,175,0,pink
9139,5,0,10,5,15,265,0,pink
9140,53,0,72,26,99,1039,0,pink
9141,49,0,76,25,100,1210,0,pink
9142,58,0,81,27,112,1337,0,pink
9143,48,0,71,11,108,1402,0,pink
9144,205,0,337,107,435,5705,1,purple
9145,5,0,5,5,5,83,0,pink
9146,5,0,5,0,5,141,0,pink
9147,5,0,12,5,14,208,0,pink
9148,5,0,14,5,18,228,0,pink
9149,52,0,59,25,86,1070,0,pink
9150,56,0,91,33,114,1217,0,pink
9151,44,0,84,29,99,1324,0,pink
9152,39,0,73,15,97,1434,0,pink
9153,283,5,387,145,526,5662,1,purple
9154,5,5,0,0,5,72,0,pink
9155,0,0,5,0,5,142,0,pink
9156,5,0,13,5,16,203,0,pink
9157,24,0,16,5,31,249,0,pink
9158,77,0,72,37,112,1050,0,pink
9159,56,0,88,26,118,1196,0,pink
9160,70,0,104,44,130,1317,0,pink
9161,47,0,90,24,113,1433,0,pink
9162,743,5,646,434,957,6393,1,purple
9163,5,0,5,0,5,91,0,pink
9164,5,0,5,5,5,134,0,pink
9165,21,0,17,14,24,214,0,pink
9166,52,0,26,19,59,310,0,pink
9167,201,5,153,124,230,1188,0,pink
9168,185,5,172,114,245,1340,0,pink
9169,173,0,153,100,226,1520,0,pink
9170,102,0,118,59,161,1596,0,pink
9171,1418,5,1109,825,1703,7275,1,purple
9172,5,0,5,5,5,69,0,pink
9173,14,0,5,5,14,134,0,pink
9174,46,0,28,23,51,257,0,pink
9175,119,0,74,69,124,380,0,pink
9176,408,0,299,243,464,1497,0,pink
9177,340,0,256,196,400,1588,0,pink
9178,299,0,269,180,388,1642,0,pink
9179,189,5,175,107,258,1708,0,pink
9180,1054,0,857,599,1312,6635,1,purple
9181,5,0,5,0,5,81,0,pink
9182,16,0,5,5,17,132,0,pink
9183,31,0,29,21,39,217,0,pink
9184,72,0,48,39,81,310,0,pink
