deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
609,11,673,277,1015,7109
570,5,579,213,944,6564
3345,15,1773,843,4289,41075
0,0,0,0,0,0
0,0,5,0,5,22
5,0,5,0,5,67
16,0,10,,23,222
150,0,113,38,225,2399
482,5,270,120,635,6205
1039,5,534,260,1318,12096
1656,5,838,422,2078,20064
531,5,283,115,707,21700
5,0,5,0,5,451
5,5,5,,12,2554
19,5,12,,30,2474
29,0,11,0,40,2177
96,5,54,19,133,3961
80,5,39,20,101,2611
119,5,64,27,157,3156
181,5,93,46,229,4316
0,0,0,0,0,35
0,0,0,0,0,0
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,11
0,0,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,5
1822,56,3268,923,4219,42233
5,5,20,,27,406
20,0,18,,31,520
49,5,49,25,74,899
106,5,109,53,163,1575
384,5,474,204,661,6384
401,11,638,222,827,8212
350,13,745,189,919,9347
506,17,1215,220,1517,14890
1196,36,2222,783,2669,11798
5,5,5,0,15,233
11,0,13,,18,113
35,0,39,21,53,255
58,0,84,46,96,546
292,5,396,191,504,2353
292,5,503,194,608,2708
249,10,527,164,622,2785
256,5,651,161,753,2805
134,5,135,33,240,3200
5,5,5,,5,95
5,0,5,0,5,99
5,5,5,,5,133
14,5,5,,19,230
25,0,18,,38,699
35,0,31,12,54,743
21,5,29,,46,652
30,0,38,,65,549
30,5,45,,72,1771
0,0,0,0,0,16
5,0,5,0,5,70
5,0,5,0,5,113
5,0,5,,5,150
5,0,5,0,15,433
5,5,12,,18,459
5,0,5,,12,270
5,0,12,0,13,260
267,5,431,64,640,15600
5,0,5,,5,45
5,0,5,,5,111
5,0,5,,5,222
18,0,10,0,28,414
52,5,30,,76,2021
46,5,48,,87,3025
40,0,103,14,129,3698
100,5,232,33,304,6064
31,5,87,,111,1806
0,0,0,0,0,0
0,0,0,0,0,5
0,0,5,0,5,14
0,0,0,0,0,39
5,0,5,,11,274
5,0,19,,22,393
5,0,20,,26,464
14,5,39,,51,618
97,5,172,12,261,3430
0,0,0,0,0,0
0,0,0,0,0,5
0,0,5,0,5,5
5,0,5,,5,18
5,0,5,0,5,128
5,5,12,0,19,399
19,5,32,,50,686
70,5,120,,183,2191
67,5,176,19,226,4628
0,0,0,0,0,17
5,0,0,0,5,122
5,0,5,,5,155
5,0,5,,10,178
5,0,5,,11,476
10,5,13,,19,485
5,5,28,,34,792
35,5,123,11,148,2403
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
