group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
By Month,2022,7,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0,5,178
By Month,2022,7,4,Alabama,Total - All Places of Death,40-49 years,5,0,5,5,12,252
By Month,2022,7,4,Alabama,Total - All Places of Death,50-64 years,44,0,41,5,79,892
By Month,2022,7,4,Alabama,Total - All Places of Death,65-74 years,54,0,51,10,95,995
By Month,2022,7,4,Alabama,Total - All Places of Death,75-84 years,74,5,84,25,134,1245
By Month,2022,7,4,Alabama,Total - All Places of Death,85 years and over,64,0,45,13,96,1119
By Month,2022,8,4,Alabama,Total - All Places of Death,All Ages,266,0,270,74,462,4823
By Month,2022,8,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0,0,65
By Month,2022,8,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,115
By Month,2022,8,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5,5,171
By Month,2022,8,4,Alabama,Total - All Places of Death,40-49 years,5,0,5,5,11,243
By Month,2022,8,4,Alabama,Total - All Places of Death,50-64 years,36,0,52,13,75,854
By Month,2022,8,4,Alabama,Total - All Places of Death,65-74 years,52,0,72,12,112,1063
By Month,2022,8,4,Alabama,Total - All Places of Death,75-84 years,81,0,68,18,131,1235
By Month,2022,8,4,Alabama,Total - All Places of Death,85 years and over,80,0,65,26,119,1077
By Month,2022,9,4,Alabama,Total - All Places of Death,All Ages,194,5,259,58,396,4693
By Month,2022,9,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,56
By Month,2022,9,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,103
By Month,2022,9,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0,5,153
By Month,2022,9,4,Alabama,Total - All Places of Death,40-49 years,5,5,12,5,15,210
By Month,2022,9,4,Alabama,Total - All Places of Death,50-64 years,32,0,50,10,72,878
By Month,2022,9,4,Alabama,Total - All Places of Death,65-74 years,49,0,70,14,105,1075
By Month,2022,9,4,Alabama,Total - All Places of Death,75-84 years,50,0,78,17,111,1176
By Month,2022,9,4,Alabama,Total - All Places of Death,85 years and over,57,0,38,15,80,1042
By Month,2022,10,4,Alabama,Total - All Places of Death,All Ages,106,16,258,39,340,5072
By Month,2022,10,4,Alabama,Total - All Places of Death,0-17 years,0,5,5,0,5,56
By Month,2022,10,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,99
By Month,2022,10,4,Alabama,Total - All Places of Death,30-39 years,5,5,5,0,5,159
By Month,2022,10,4,Alabama,Total - All Places of Death,40-49 years,5,0,5,0,11,247
By Month,2022,10,4,Alabama,Total - All Places of Death,50-64 years,15,5,43,5,56,914
By Month,2022,10,4,Alabama,Total - All Places of Death,65-74 years,27,5,70,5,90,1145
